BASE	EXPONENT	MODULUS	SELF(ms)	GMP(ms)	DIFFERENCE
6760039596544695096241805692985520635505851196547722291412419463439082062553367351016422333020836454430737369374389736493465130719059575874381379070328194669982153086966671269859392967777134729251416466036972244949374958632247029967191860859303112093408432356987862323787653611873824390528701239455632820246297084303911145541058680848734662615534099923547493410826385319700873953690072145003671666198422167950144856695310351	216	36	1	0	1
29034148986824500040650127959359427731030767305814935344906523243704725146926939027289686279248513458344611298628075898197490454154725842256098627338438480094294860412187296946028883315015175478720648283304690518917266622966853884702220995348089323792211314143891065749618535111574353035767903972816607805942092642185453294988743259462216898915312780744432584502274817282009758133717078382671339606244051858147291517968964598303502892	520	31	1	0	1
124700720365602762566142970163663959214052629948261177934727997508775632386719998023595254087472288760205963825439675650164046849866734816335998460969084795712943421651229520209834730909390244424806328296712188582150929475354999926806593873584611781774302293769194365581197332779639557360981465809715803532179602367988751868912092987530664128499806266908156484514026777830607520337184846570241976725327720125270648220654899292695322005751511978	568	38	3	0	3
535585515757905028548837093713240472358233909250571931296093571955760814102680816220526252646503803531353000854422459738302118255189447994467679937368551664637932999890369107491011226820791439105989511168218234284922851432652162675716714404199865891576917204956474372438710576810980673533331462114871535225072675768795846572836318480355138229067009458706379136638075464050717127659863808725967056841675732820278457256433384164299939706891867848386257094	552	33	2	0	2
2300322274391494751091201656330055030962206636549438314212280784105815455369349691593746579026167284906770449301204521543884316473563261420531474259993257698506281915568306902042601833164137283797000428186524070844609592786307785235875141726610549051908741263787786533086385691812457966513711395711236239032999141650189818330965669834165737159402162217666560858437249506477853748646172070292027935108370322299929819529715270588272531775872398217172860595528896002	968	34	4	0	4
9879808938771808256492371427278617739862944915973995846711117969303713984222704526182827675029268016899693488727899473438310568061268256388281184885336842995584708877922111398364050472189617833962387541959117472194385298905069454178275379655157281106551850104494252243835248489176841931551053580162274306376769978183636741923678856036475584543364225636564712319781672298514521998706313317492873150808860750135178077975309187368421205112492752211846141836563692153170744080	1048	31	4	0	4
42433456282753382868417514953646505472796783936357780148064080837757383453574375920626420581054421975402958846510472881193164563314329285470610766734651250609922997028356324891242424680147766107606812586792237312097074213620457914304263309300884280088918887527096996007247009873047946056573245681140682518869311310413353288906192814683354818716232442925410221201110576382309021365516170007361154895800532868848617424040090855235705379111064371786910842971818434818880168530032308321	168	37	0	0	0
182250306990671508253219897999502696950347204660634811091093264910468243915633478882700368229170059580539424667396364746219535258181165649271321212270811831335119325315095600042636970808977915879628476887073820802127878924784784498481181506820030606862410593925583911670968486398530040152954256029072475393662594976268256617546137750935197541950227046698823467442895764441727239730657212340792239538253576411077869011067954416106024974773303028575567151431751627196998007179457158065387979364	392	36	2	0	2
782759108210894305026573548604319907665540179862445292235383649676325475664196774923904701711442839120788306985123064054300243570207022906778930837414210710954205518485920497296621995225066811889243380860273945482903727191798293259384436243232032414193086672634319158330562361728307344930505367428877107029545571081566058295296241411377666857975813225346111554344558055814138192395524575590230275547397251640616499511908726250794152935210561521629814380051252814805890590212941696923944000920149880993	1048	43	4	0	4
3361924770411916111001781802194220447745234778683160308740135509372938903429369026406843582471282222997175172240311918648532714298873443334138364648539928209201221655559751972345047880765930116479284294979348941449958435405279588977673398756078680558571233488257858952256011300911602083913111945859490780694989933536969568841926867493587961459789194561865827406677603565295066190763333948924318930585139693716730210681647941784177580884751768609196049380870645643419244673118722264243083283287437646286001041203	664	44	2	0	2
14439356940531488145448158638152117863280260314285971471964144975365074057635242214332753577301636006959046465155306743434460526299773008763033476504401525808707093293876111295093477075443777281299996708422720698899790300625004340395429321826525014201894460318447504214920393956821745937372263513053435514298489915590497905123296489508685784169103009697394777451660799328595309879483816586556484185936869128104812942932867777348754600156403591254656436943240471044890533488067122450231112895923848058437590334592028852726	232	41	1	0	1
62016565834853358442911532614283244095926117332224929063674983553795718738161384407597799076137534577185132979186446023899270679860472964860750195339588953400896917740418815088082689301956748109891278227583233145116862522442402001856420645124383921323072248311301776095905247287985434902634735966058574634356954569646989030861069270151412550946411960305481425556081354001535613551368693600522452835340036025842206050094181427205110594001309909415701004387104031401439789231241097176570017529676779117462547344118461424748745999119	376	44	1	0	1
266359122070926111468070515599583915872787760774164837244403955936890468645217533200716880953589725007079333883016834359116601968252417227169079283009146168939720238762301028146386509895633301938492854103106831476220146632018182641658257958428450794230832356742232355518627596616690136631153135207816544074938277866791572152419027234890905874518773218055292892298828029351994193982422955052488423441487927770454085841647846949736554685298759842101158282756964339018940942061313493864526162744108475760117383347840449769133429083229532186371	936	33	3	0	3
1144003718285899441187813412722070749881238728874109617677877749761969602765322731902873207450793162707039107505021993389854924904293362263638198182955411264479789420873394433595905560577325405034320211902543253184548931480842640923277105139781923717166650447066493068985550646271764384596574330485438220369602476656430446843064049261989750858872410709588159692124716645194943135536386590790115742099790419352910493759454137397931858189073745511182598748160682552324608070708772282951636523522319520066112902600069723984358828172806102801846284447191	472	37	2	0	2
4913458556540335277846334001391444208138116224482911709045548397913731228423172296408216274435780163087139795727097617370155080648475920912206591172160116007170702015618008848802858062184159493772359067713213211653085513221963993287746411720916870937197517452014366868703611922288892360059852903068052960715883669759972197289626536013578915826044915434361299506501086744379116311708475825456481912373370219574876053112067610936007868958581521502756063907640671715272000439711832495588537218207497064746370674510932831832567982531085648083143760119802859173700	264	41	1	0	1
21103143810592106923225077849469071368161826235201100301206097743424670255411430661646507164396636652704811820828004807604337597833446552561409796280070003926364266646440629234246884128410899355000197864597300251125128376779710940060434355882689039809916207348790955023227939123306486150521324821247945528670693109359544757228205812232087655387999736817667416028483106955567416384168045556342194084859162834374431671369889411911005745975761213404258068349002649536565465633059940232782831624680015635101656581717917307173547232667712161892067538581022322118337474831126	264	42	1	0	1
90637312509277917630986892210523672489745019315823529776895939163788357786576061716343389783713249995762076712290492289591402090437853398215200106676923123454326117429486097366751890521426277179673343901974440788475013582070424283892981822070974638521232167063412016965370918888080269401166023457852971952830057258351796237743403572293933241696777060488488666847161148862632178493216327832727848979354753139576848647120294543294442541433978020276565230703099093976898231057004379707516888898275213617530284653901606331542771560619126570467887560028709119744236896290911781328334	184	44	0	0	0
389284293024680352800070498248876320377269753340350355699050235103676584158891132888172487826828922173670258076330865635535233181216614665776749228273096053142501224078298374276871087535698247761728128021941253014388637048148284268164576489717327063294113959160562971039665261133773441300877575017847348913810350570428387703963759182732014972294921023401072608575196564806792803105598685894780669834755643916635888218123509641336886814010060540270672541080505694478008481910085322572551083185757513294706424878078077995842737078058030132244216488528542490398445354046009802826300372759518	536	41	2	0	2
1671963307387483036130044816473349064769191972366791534909387978031402098323429083379090860423188332122842990725720939579994081969059401481345108372626186104913720785056259260849128970173777206661127510297538852130060613555810858290278149969026400021383941483891697573563957415356856811460644880801440979905116578446284869898532875259053692238189031862410457545151878402616719647986713590418659474033249214773372490236752188398282618584626844635442629551865988460924814221014424073018717489572204012587049304772426132326681779709385838608171464903374049158807716804870753382434368469674739422871351	696	33	3	0	3
7181027725341234839933328889767356288775865309661105358885463689020438473324904343688452415730094606516396899709802741518466557930653413243711194550005250953814055673492079045444142116982532539399776011213832599187990273719901907118435128860351801052457729332892551884379751263294388174578307754112007278366668887494212008913813537618483136071070934114954886884823761092207531710903567113366881389133366594069314897192929946427054469386214106072899136409507556214385450994132667337890507613575837264701349117137106960918866632050888561067630600120403341192175454029349499284436993443666573578554367269202497	312	31	1	0	1
30842279232009874077769442401962784308672273379095360359623409554138297518510632538470247138412952297973913172009394665432955246381845845792512858261365989474904175582771733615229488187216183459977869437888740276331094381593066955401708477152756736575004327907193407425394204920464082430142970394934280781498811168248343967575289626713450794552767593719901943685697372614748589143213747361651880015838859303906615040569236322323230995624422778836976782785477817405667076758010494101487111829147226667710389665182347545200482294044231777525972271725986012749523226150007523580632288613114351848268694379197555569572782	120	33	0	0	0
132466580635582405513097915744585844814849383345185982809917342911037929303121121381003173328521215462606004134923972692791404463841650235792301927892050345081393646861846336910634499298911833242541074119490042773480053236831566953788628451897053379833330639419855808038871670041315515180112262450538940025818715830506190946894753364462319125909351761315593832456903918333471197632243705255901109204943862716224236637306583228073591867260414933982256197574923009490799659739576778190688050271682078106915182811374572583141953216347031061917998697665935398112641295906694303932764498594959337896551196579272523894457755631003328	840	34	4	0	4
568939631642773325591765647768759692544309276633340875206213172266125343772465287058254985118218084454062298692739234161936137122108302285398625428854106450510100171373803047208572849098161252164119549279921729909737964760530522726956502497592953425150421027063049108562607719568353106515973716833633564985396780116741569242444238454351629270095972075410473445221705658656513615988439349175958575045358451882096824959796788490078186151135055256843789412877608835480882151469410139210051227654878440378518301620715126050572929989772510997633955440245784068142534490098310702860707704335188306715500820497642561598074616088719140642282031	216	38	1	0	1
2443577111303998188157793304063078249960823374049616042230702830887422560139495673210457207911713366525963587231898563381601676980026716885869154540282361960243522753734479478905964477710145671779302688791524179402069590576079066722062915841704053681072242191866526851318353724023215829066111615396020834460169888185108101980017499265065836599378550845217229223103673273267865278049049718790266629270576267430795511107763721370715030002125175607296955709020371199071033273791234892317977297262353676281221966398435262519728376368970549214638171994976924774550021101524280293633513233534871199344693200298541247161395972668804143587825757986123468	552	39	3	0	3
10495083778304824132180976728478705004670649672775475982737823545756098553531727114372417033188281364555074742047847497713362370727970794231058983285682659224880382423121451229484239291102796627688055178044462112525125726240369391481462145194519223470833694427458090023518183729239521530588475610011639572541059484359016092228808004851161803481210729804081157528965764326154752416954615226082191855837281403689016663471449914982477345994786439731597363730602986497790393491861167793959794124612279371613219244598090358095407931307907738064029433191648968181344513747156679611093216347615482276757753926435812093065248536318623636138999734296811118479580434	440	42	1	0	1
45076041596599333966748876202153109827491967595643770896692412671241202879971673254625982722017015071210299607931141069874326164473662273665543800659017646405173952019279867266693798702724735290059285079544422007206486972490635571372300903872463623250546327420789941061634469978403063924565366379493642143403270102512597638860450129898749293556179034992821058916732130484478139065797028312286660228818670326393300324008915214551720614108484345151485695062756381367939316310514957847425782104102688581094207416826622752072705912746478241170340769539549218651019283853060351917595363020461063961942174028457402782916550857600356752949607568957493310958979210738689526	152	38	0	0	0
193600124490529764202568374733000291493774202525981748067410506994316966097179350035016476502924138886387347954425873115072681706451496518742512665886024038797114089113880191381670775474209964161061703317784051100174537865897331445298306222403471016810761690405200827345487568863534985862205659614183118045844387229746174286912452015754080007126892494015006042827453687623238242914538228775257280659840065766064870525124494458936463338124976458553607226106367325590603106466261124873512291924343114881472264750310984822281788109471953585002214370347836872688481061214235081000322971134128048557905826095365118281725973430514285291851316044706498584707574107666563517924613740	200	43	1	0	1
831506203188353998964622688682108983924227187457572198242439330947370627245326066246932221401211624885995519052431623485482812592226649758256942944846248110103440191924945041646497034500690687509092092387937194665642460025942672251228638189416210534086087681140014541761011601443430651229995670469024469762209071856919856943405102222833050409177450183902326687186288959296408222934445415531496154419906383055737805519884050029665324979149763850257642498956125080774624227188597658727907430469058584698694293433639285641252652026583708476814466808225191512539941753830513722552298126458631998032505485327456560199184770317823783789315217706574485339989316515924273182192925808896246284	520	39	2	0	2
3571291949115111353623872308869247426262345512204333979010105605683077541209682023386903351246835223660370482732738732146334210853710444531359875913052567381196082801409602240469062756141450192263306239458400795990920020640411088889873696842159277576150439839084838453827971076076121041076813578886053078652428860339984776864923436926604855975336566800529678779773133339783948487768920211604906441183263766606042419858710272589440400610660117622979615707076271360812369402464300968338531376380000561188938004199308278089982528927445150514316109201004701349695823726446939165241338102781896728448747404422033776916153834376324677266083814284857538723285555425287416530088465911763723649010575584	376	31	2	0	2
15338582125917499403212822651473428435928945491169983309309954029915089780127676569005857048317958109122136634580845563081009321902654599515812713453178916431073540995362304323182952237399151725783812519306576171241369401602210602777756473507692571212552288684884883728634341781780867877962386945204314083332297706126786057772703571143686608728860737001194325836510793993819314460716168314076472838021865420114729109281861561510891755563923634162210707536540501272310542575855234466515123718221969278768135605007539720218548306954750878292785268824279882639190622452870453994013087098726933069536762914157520853662240452751315045535584672348400756835565054220804825397059761077836014751682204895409737981	616	42	3	0	3
65878708597825813930898590615926381345311252264341735090352104885748716262552201568345643254976721888177576115168234361459640036243038000504393039142422673308177896745996384739270194484359384760383434736617113253214577302136584540234910809967829997780063144591531425139247036695235196174345371047749873026024437348350364947722528439564543301363604996758586742408581702954447181741915819647389907282336217312306062092264805452688772437943078046168163347930462177944020170719313831264094463459157277321025849590400556931759654950966824374094789042350850466686041891344961901228958788885031700768041290586012207458917324574655131341568086971975256768510400357558823487879361888386879393809448631010955925149391848252	776	38	4	0	4
282946898930375887537790650587896304621736311416153699180957895609052552821645055228844446604208009751010058455198296120532596779596102919851599607446753268067516195874119291389398972217883141056527648613920875096484776383140541525448138086288700652553123806835546749529338268670947086596957682859070959034927515307965777000133009330359625960532555665740316065824034683933337223340896757770573903538106291832703555028822673991100752887351709717867839695747204336434499152003789700839748059611747537814208517161385387562093821746646994267712788540916061712202887423012596820144360206392979458721995425044555106092817172615960899590619538901917396341954812171581853276678511703970449191907886725984027116214061902531520944439	264	33	1	0	1
1215247677410581817961784808369577801789611108268051584091636147593862715914278033128000694036291657861837304032124963032611177270320182129812729487270243347731103181229672489320162986771820677187541138116569888871102959127461791623529704824701995317049525652997694539507611256462979122280413180975649545998369399978252380502800262723957453419279913327654165131417612258263380018388599433937048786847225213193293672111729722175047528692153165287927758343404832908415555103996009633168341652911914132320548905332804993631478133685502438036525895504198042935029165598608821138553621085301656899210752306427983523538460096892738831356450707962334968982165950986766800410404647274506312629674001332573909882516587206692422065508645800421	152	40	1	0	1
5219449031018406872478091129736963740013949982569596755314571121047069455165562891735967562751174907634212507290785649610273987860083733696309299752320543492466643965383004406421009301574650422897062446865286708399741568901273090512626826306628482832672863891938142410582970289589963964925159553657744172420244242233737085493675164819605138131250603611989171637622186767649922933398913188003737062265307239011824048243626414732995122978419496734532145695514894629989372349348740288958984261811254367076974137172997443592686860318348920695145174647644025113154119052193149887201287303746642676722949367664759812824532314355304500545215109334275491575577166732902336541247338170420147290001594864865362448259944230275945102388403318057652121578	168	39	1	0	1
22417362891362947091315043878727952345697761758916188107983797157163220586576630885437169348933124013864763449528085927222241923458560660047221638336877634409089858202195760039802127357574924868975452783756144130240378533282698576516580094039241801788427390682533599708444461688328544479172051370541968397679534188726202770057690847747613807907283898093752965689718055371060369775868718264419150208212610266947839644512701691719946625319809852243594359622943646316690375068019526439876427289858039231332783033795841914522194809836228763102546111083839411310799640736860095840755617938691848566322967986784023287776447676651224153963313063875777568171427443442154702606643072489007007190059877732438271158462952575819077270249563740715502104723508510744	632	41	3	0	3
96281840480967858623376439091941545405818373054944464328774525287913804553380566250816165016481380130661409582499275690897365185054653246134990752320429270540885226103708144760813795312011200181906654733024799078444790419109637908764465105663148079317409954252096929168924097983696043441325313793709732063499121629092932795662390224354516566999810542500065729540349131279421433029022994935118130580384751711334801011034319622541044746614148856324830000070605852181176019875117641548676565491262190981259281622816803763658854174387541653499967041437073385695776948573363453363471002974952422614141634476892340236302239330272190539637698393156023661866691391220944115468137948685242415396144031142581012964378414940741897288618830024640505180006636176026679313748	248	36	2	0	2
413527356064445863214553386996824874661688960386914085388325177869514774623705418289216762053926828654134961006095403036091988362378723664770023682478679829654238277004991986076528993210726220766998333003105123198891313391650028256545209395756405393073489756937612450202557460346274047785087517640920989729651322721680388502095816670792751365154379118233800386226180631267125692661107982078306012739410007697263002849060137912424851604380376068790947603062929826024361272183076274604216640866573284025814763466451979564164491979827572231620122380050107033515356199433269888917729158821739362283709147190238669027823029895084001146024506287316871853119601837018696486179300219619642371958485498262990963712557305138804226831608947965613843905047095439005086876029286098444	648	40	3	0	3
1776086470298142250868996228397394492511253148986035503104608099162948912397625477890186262476629517446505352691415012695954197664029214906408519077391418085619804387527829408940779379035875154603933876334853970589289094475623710839337572300245682345768663430638034585942412867748063870690492124765578722208804312572758978781075960059466465507197412303999489940633614670280939889900805994150878435795925353394852865947468116671114449698466845559638166216004873032717601363315267124098625816220909354478193628842386845382546826617813714453886162717832892550248030790356747907243199571724960454844426660758125373909068027475016096095001774918572344198171605466536823548690210435431981546777562684729810996288956370097056894788326130573277192137026204250317610910184590131048703326285	840	37	5	0	5
7628233304798596337038166381314155836946349186872038046529198252801590553666570375594721076685595741741001919298573059492548070480925073611580290253188233668799987734349337601267657433710271799762839831804706148616742508662258107257115583333590698440280973416221522960339564606307507491934836614013712278400283405763761434355079192147210684562124938461505819295702356527122459959265802428918790171415135122888135633976247615105148949327952163018928741491153001452154435859004086435507571359210111988864312781033613839498647229512092194599723568980026749496397328932983264434525983678959911460450097275826635047207218855844423589801625932337221281341202388474590479521347117455538280375885125917504496825322244975537731708967173573394451271771235897950130336472095607936018534969602309748498	536	34	3	0	3
32763012570367971134284318111550964821532078264211595946710632804883171804780452651661763574606541785054465345660602549987156318423476182988129953515631023339502042884231540836707676820316905319252457633687353567199024712757395280180171693709734708050804989873716837005971535038969859997135107020292269531282864424886853262501115981762369907816098690958180048788727374634123102512116113603403568426114239392225483614340209947674610338572315718818759573658940414569243810755752218370862232148193699384669739576054180517339682886995442012342680539409614966292210997588917696461609033163362583017688765239694088893482421120966337782168902507013874246875679275815453436537143603335407648290505202868523807797694866831234877704036200435284623920123066175197003234085126652670437668144274274495862142700524	728	34	5	0	5
140716067508167334707623170654771873745726752759701251815088326672437972002281340598963754606619153034466390238377623467849041607668592484568929706547635470046173979112963981985347948255398376702117744704312731459908749464388806710518594412148239487914315337981224984905210299699293634217393938345615305998477151630090883262793196305172311197524678659973794213227268487513498690927594151681239040679858850549523368781375078343036322653711583343313304120152052138587584094646368821782303686398051764330411855239989610046054298922656287144076241261739935428177188614175936358338265716974821719451058236211107712842023826265450080691304608215837000508587672667412336241337843265581172368235990153638155142288489237227228951033395048069648424188587885517714935247601851453237480850686159018613854790223236199377114	504	30	2	0	2
604370907969306915464727239854072104078537422855194623276065002409485594338361995263586377524798607410252306885005536892613741169879867527574937747344971409977904850216367392253002588937636283387084047446300371776738414093807441450142702200065033704567771626860547972185971897210824793264693519543058084260491992054473433121450551742023112238103090997496550362845168769281861236072828785431785096478407369006354497303753335392778875137795183475908981477755118482520533318155922774709046764619872365914218256466441606527596267713016786732592696349778798721172781991109208649240188159764851340472782197118150578589851548262893911289714363861112826451119421255289069103501600112844977754912446920053891753903287871138934065392817135307487912107920304720377675539207614420705053575123312144801961576501740015608044487983840	440	31	3	0	3
2595753284381998973707640136733587499443226446675183850685739564918901827866387527866410391140119447813376913179654413732697482284842811279746735814082563035910109414279076473647449877290479220690514092585172412973732902079808437149797720482346568834256304952962768693177866928495566104257819737900571335727225450743855245757473315813145095938790140910759701681236933375666163414942935107636918228274964420047696582102140753562904583276497806575348679319627985379030838249958051346076931769376961683295712552929507221529726091319067812515492328110758517341603721417151813912926943395076459557632360714753482183046890197284094959306848373964923875773681656881913818825823411568339088975196462864967391640538701753415184083162474989454067486418840131348376541209395869691106190367082504829124041367723575454131080630403661105910953	984	39	7	0	7
11148675464905273163179878252607726574863075797192202573482598604899952242920755889848521286861381181892032553428047079563988972274939230947212137484236544483092393530110348871398803056761821345033324565080431608243588921471947619503252662487027858480943674254777909842811596768928426898793462126546245586663469687763717153486390639010137833959886073018944573235628845675817054080971583993550803632667234679668463580259673468141470663941066604656856337474593728089303614459035703903289199849497464725600194911848902509866000654053305755960299042574609297735636843678561814223099013519096601219497616461141390678305079031838175871181364595010125897577529413822913185747380672957164456186902963179913411202537511853216071947002574334123164748345842522393621627187951548240778709689769593174849826001723866543681339404722787728554735458097230	728	37	4	0	4
47883196515485743973804048460211812355947006226909638679314797833140520235306494066498777321029466661616107219940834895875642575225514717305667232869051674082931055158185939673808368902336854338312861037173877366970898419389927207191521951006710676416569320142348294518112308812086862495044621692130738226303936066832496549618260175629083809309988859502234930483702794171865265356836289157617776516823770199933087199782368733306514402970287538358959271623719293030275591516151079960966660183599733031366451117616639173366790151473558062538041462238058573752087097332087328402637910834381773702495980250553527795279571152440308131020269820220775518938134456847462468232173308013492948216373090383220265226698645622775381433959101992867969430165463731246752527770556344926710891690638708461204812388694446427779908188760481240092714138459182227723065	920	35	7	0	7
205656763061952427921717468849008891301681102853685253274833688382190199383067616552030297817808052363963479016475364932721450143578805535594526000631393190720239673727180717586035852206640207358569457970854443556654599295017829626708202788039936631743203702528339989596668446002965683927465612228393701238312452363120442990643268738746131187429502477686437865336336961951980718025973631957967739407994886804131990911381492026964425304510350236968075580219855181449274403428923944227432762034906208924049849741746114715042837913073818087358010836204480540797618094784883926905341747163433790430693068747589287778152741276636154014894941990944030353596716139410574561644623292922086939315943954930383146313116708997313816012779926860896353948488422594378935412979871293185518796658291402192553153967258287544138731556608861703419731232559003498974990059262530	952	43	6	0	6
